node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Netherlands_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Spain_loc_weight	Ireland_loc_weight	Germany_loc_weight	Lithuania_loc_weight	Italy_loc_weight	Japan_loc_weight
11	EPI_ISL_560424|2020-09-08	121	0	NA	NA	2020-09-08	EPI_ISL_560424	Switzerland/AG-ETHZ-280156/2020	2020-09-08	Europe	Switzerland	Aargau	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
12	EPI_ISL_560551|2020-09-09	121	0.00273973	NA	NA	2020-09-09	EPI_ISL_560551	Switzerland/ZH-ETHZ-280197/2020	2020-09-09	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
13	EPI_ISL_560463|2020-09-08	121	0	NA	NA	2020-09-08	EPI_ISL_560463	Switzerland/BL-ETHZ-280184/2020	2020-09-08	Europe	Switzerland	Basel-Land	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
14	EPI_ISL_830786|2020-09-06	120	0.0415623	NA	NA	2020-09-06	EPI_ISL_830786	Switzerland/BS-42427683/2020	2020-09-06	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15	EPI_ISL_830793|2020-09-07	120	0.044302	NA	NA	2020-09-07	EPI_ISL_830793	Switzerland/BS-42429735/2020	2020-09-07	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
16	EPI_ISL_541535|2020-08-31	117	0.0812196	NA	NA	2020-08-31	EPI_ISL_541535	Switzerland/ZH-ETHZ-270193/2020	2020-08-31	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	EPI_ISL_603272|2020-10-01	122	0.051602	NA	NA	2020-10-01	EPI_ISL_603272	Switzerland/GR-ETHZ-300239/2020	2020-10-01	Europe	Switzerland	Graubünden	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
18	EPI_ISL_830815|2020-09-25	122	0.0351636	NA	NA	2020-09-25	EPI_ISL_830815	Switzerland/BS-42456700/2020	2020-09-25	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19	EPI_ISL_603309|2020-10-01	122	0.051602	NA	NA	2020-10-01	EPI_ISL_603309	Switzerland/BE-ETHZ-300277/2020	2020-10-01	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20	EPI_ISL_539368|2020-08-23	125	0	NA	NA	2020-08-23	EPI_ISL_539368	Switzerland/VD-ETHZ-260038/2020	2020-08-23	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
21	EPI_ISL_560490|2020-09-07	125	0.0410959	NA	NA	2020-09-07	EPI_ISL_560490	Switzerland/VD-ETHZ-280100/2020	2020-09-07	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
22	EPI_ISL_560499|2020-09-08	125	0.0438356	NA	NA	2020-09-08	EPI_ISL_560499	Switzerland/VD-ETHZ-280115/2020	2020-09-08	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
23	EPI_ISL_560504|2020-09-08	125	0.0438356	NA	NA	2020-09-08	EPI_ISL_560504	Switzerland/VD-ETHZ-280136/2020	2020-09-08	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
24	EPI_ISL_541474|2020-09-02	125	0.0273973	NA	NA	2020-09-02	EPI_ISL_541474	Switzerland/VD-ETHZ-270065/2020	2020-09-02	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
25	EPI_ISL_603334|2020-09-25	125	0.090411	NA	NA	2020-09-25	EPI_ISL_603334	Switzerland/VD-ETHZ-300302/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	EPI_ISL_560514|2020-09-08	125	0.0438356	NA	NA	2020-09-08	EPI_ISL_560514	Switzerland/VD-ETHZ-280164/2020	2020-09-08	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
27	EPI_ISL_541473|2020-09-02	126	0	NA	NA	2020-09-02	EPI_ISL_541473	Switzerland/VD-ETHZ-270064/2020	2020-09-02	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
28	EPI_ISL_560524|2020-09-09	126	0.0191781	NA	NA	2020-09-09	EPI_ISL_560524	Switzerland/VD-ETHZ-280206/2020	2020-09-09	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
29	EPI_ISL_603416|2020-09-30	125	0.10411	NA	NA	2020-09-30	EPI_ISL_603416	Switzerland/VD-ETHZ-300469/2020	2020-09-30	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
30	EPI_ISL_541438|2020-08-28	125	0.0136986	NA	NA	2020-08-28	EPI_ISL_541438	Switzerland/BE-ETHZ-270163/2020	2020-08-28	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31	EPI_ISL_603333|2020-09-25	125	0.090411	NA	NA	2020-09-25	EPI_ISL_603333	Switzerland/VD-ETHZ-300301/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32	EPI_ISL_603340|2020-09-25	125	0.090411	NA	NA	2020-09-25	EPI_ISL_603340	Switzerland/VD-ETHZ-300308/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33	EPI_ISL_603414|2020-09-30	125	0.10411	NA	NA	2020-09-30	EPI_ISL_603414	Switzerland/VD-ETHZ-300467/2020	2020-09-30	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34	EPI_ISL_539432|2020-08-26	124	0.0446834	NA	NA	2020-08-26	EPI_ISL_539432	Switzerland/BE-ETHZ-260125/2020	2020-08-26	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
35	EPI_ISL_722815|2020-08-28	124	0.0501629	NA	NA	2020-08-28	EPI_ISL_722815	Netherlands/ZH-EMC-1024/2020	2020-08-28	Europe	Netherlands	South Holland	Netherlands	20E (EU1)	B.1.177	Dutch COVID-19 response team	Erasmus Medical Center	Bas Oude Munnink et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	1	0	0	0	0	0	0	0	0	0
36	EPI_ISL_594557|2020-09-30	127	0.184807	NA	NA	2020-09-30	EPI_ISL_594557	England/BIRM-653F1/2020	2020-09-30	Europe	United Kingdom	England	United Kingdom	20E (EU1)	B.1.177	University of Birmingham	COVID-19 Genomics UK (COG-UK) Consortium	Institute of Microbiology et al	B.1.177	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37	EPI_ISL_732782|2020-08-25	127	0.0861767	NA	NA	2020-08-25	EPI_ISL_732782	Spain/RI-IBV-99010951/2020	2020-08-25	Europe	Spain	La Rioja	Spain	20E (EU1)	B.1.177	Centro de Investigación Biomédica de La Rioja - Hospital San Pedro Logroño	SeqCOVID-SPAIN consortium/IBV(CSIC)	María de Toro et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	1	0	0	0	0	0
38	EPI_ISL_824408|2020-08-18	127	0.0669986	NA	NA	2020-08-18	EPI_ISL_824408	Italy/LAZ-INMI-82isl/2020	2020-08-18	Europe	Italy	Lazio	Italy	20E (EU1)	B.1.177	Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS	Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS	Barbara Bartolini et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	1	0
39	EPI_ISL_837308|2020-09-17	116	0.203052	NA	NA	2020-09-17	EPI_ISL_837308	Italy/CAM-TIGEM-964/2020	2020-09-17	Europe	Italy	Campania	Italy	20E (EU1)	B.1.177	Istituto Zooprofilattico Sperimentale del Mezzogiorno	TIGEM	Antonio Grimaldi et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0	0	1	0
40	EPI_ISL_523869|2020-08-10	129	0.00273973	NA	NA	2020-08-10	EPI_ISL_523869	Switzerland/BL-ETHZ-240018/2020	2020-08-10	Europe	Switzerland	Basel-Land	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
41	EPI_ISL_581963|2020-08-09	129	0	NA	NA	2020-08-09	EPI_ISL_581963	Switzerland/BS-65254979/2020	2020-08-09	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
42	EPI_ISL_560528|2020-09-10	128	0.1795	NA	NA	2020-09-10	EPI_ISL_560528	Switzerland/VD-ETHZ-280229/2020	2020-09-10	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
43	EPI_ISL_660281|2020-08-05	128	0.0808704	NA	NA	2020-08-05	EPI_ISL_660281	Spain/CT-IBV-99009884/2020	2020-08-05	Europe	Spain	Catalunya	Spain	20E (EU1)	B.1.177	Servicio de Microbiología, Laboratori Clínic Metropolitana Nord. Hospital Universitari Germans Trias i Pujol. Institut d’Investigació en Ciències de la Salut Germans Trias i Pujol (IGTP)	SeqCOVID-SPAIN consortium/IBV(CSIC)	Elisa Martró et al	B.1.177	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	1	0	0	0	0	0
44	EPI_ISL_569122|2020-08-19	131	0.00047206	NA	NA	2020-08-19	EPI_ISL_569122	France/PAC-IHU-1335/2020	2020-08-19	Europe	France	Provence-Alpes-Côte d'Azur	France	20E (EU1)	B.1.177	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.177	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0	0	0	0
45	EPI_ISL_639992|2020-09-23	131	0.0963625	NA	NA	2020-09-23	EPI_ISL_639992	France/ARA77081/2020	2020-09-23	Europe	France	Auvergne-Rhône-Alpes	France	20E (EU1)	B.1.177	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.177	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0	0	0	0
46	EPI_ISL_603378|2020-09-29	130	0.208233	NA	NA	2020-09-29	EPI_ISL_603378	Switzerland/VD-ETHZ-300419/2020	2020-09-29	Europe	Switzerland	Vaud	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	EPI_ISL_523883|2020-08-11	132	0.0219178	NA	NA	2020-08-11	EPI_ISL_523883	Switzerland/BL-ETHZ-240041/2020	2020-08-11	Europe	Switzerland	Basel-Land	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
48	EPI_ISL_581936|2020-08-03	132	0	NA	NA	2020-08-03	EPI_ISL_581936	Switzerland/BS-42379000/2020	2020-08-03	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
49	EPI_ISL_581951|2020-08-12	132	0.0246575	NA	NA	2020-08-12	EPI_ISL_581951	Switzerland/BS-42392007/2020	2020-08-12	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
50	EPI_ISL_581955|2020-08-14	132	0.030137	NA	NA	2020-08-14	EPI_ISL_581955	Switzerland/BS-42395177/2020	2020-08-14	Europe	Switzerland	Basel-Stadt	Switzerland	20E (EU1)	B.1.177	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	EPI_ISL_644440|2020-09-18	116	0.205792	NA	NA	2020-09-18	EPI_ISL_644440	France/PAC-MEPHI-1746/2020	2020-09-18	Europe	France	Provence-Alpes-Côte d'Azur	France	20E (EU1)	B.1.177	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.177	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0	0	0	0
52	EPI_ISL_539389|2020-08-23	116	0.134559	NA	NA	2020-08-23	EPI_ISL_539389	Switzerland/ZH-ETHZ-260064/2020	2020-08-23	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	EPI_ISL_539403|2020-08-24	135	0	NA	NA	2020-08-24	EPI_ISL_539403	Switzerland/BE-ETHZ-260081/2020	2020-08-24	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	EPI_ISL_539430|2020-08-26	135	0.00547945	NA	NA	2020-08-26	EPI_ISL_539430	Switzerland/ZH-ETHZ-260123/2020	2020-08-26	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	EPI_ISL_541408|2020-09-02	135	0.0246575	NA	NA	2020-09-02	EPI_ISL_541408	Switzerland/AG-ETHZ-270107/2020	2020-09-02	Europe	Switzerland	Aargau	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	EPI_ISL_539460|2020-08-27	134	0.0120389	NA	NA	2020-08-27	EPI_ISL_539460	Switzerland/BE-ETHZ-260169/2020	2020-08-27	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
57	EPI_ISL_541528|2020-08-28	134	0.0147786	NA	NA	2020-08-28	EPI_ISL_541528	Switzerland/ZH-ETHZ-270147/2020	2020-08-28	Europe	Switzerland	Zürich	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
58	EPI_ISL_560481|2020-09-08	134	0.0449156	NA	NA	2020-09-08	EPI_ISL_560481	Switzerland/SZ-ETHZ-280121/2020	2020-09-08	Europe	Switzerland	Schwyz	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59	EPI_ISL_539405|2020-08-25	134	0.00655943	NA	NA	2020-08-25	EPI_ISL_539405	Switzerland/BE-ETHZ-260084/2020	2020-08-25	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	EPI_ISL_541428|2020-09-03	136	0.00363984	NA	NA	2020-09-03	EPI_ISL_541428	Switzerland/BE-ETHZ-270110/2020	2020-09-03	Europe	Switzerland	Bern	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	EPI_ISL_603342|2020-09-25	136	0.0639138	NA	NA	2020-09-25	EPI_ISL_603342	Switzerland/BL-ETHZ-300310/2020	2020-09-25	Europe	Switzerland	Basel-Land	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
62	EPI_ISL_560466|2020-09-10	134	0.050395	NA	NA	2020-09-10	EPI_ISL_560466	Switzerland/BL-ETHZ-280190/2020	2020-09-10	Europe	Switzerland	Basel-Land	Switzerland	20E (EU1)	B.1.177.23	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.177	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
