node	label	parent	branch.length	CI_date	CI_height	date	gisaid_epi_isl	strain	date_str	region	country	division	country_exposure	nextstrain_clade	pangolin_lineage	originating_lab	submitting_lab	authors	tree_pangolin_lineage	travel_context	similarity_context	focal_sequence	is_visited	France_loc_weight	Austria_loc_weight	China_loc_weight	Switzerland_loc_weight	United Kingdom_loc_weight	Denmark_loc_weight	Luxembourg_loc_weight	Germany_loc_weight
21	EPI_ISL_539348|2020-08-21	97	0.0531389	NA	NA	2020-08-21	EPI_ISL_539348	Switzerland/ZH-ETHZ-260011/2020	2020-08-21	Europe	Switzerland	Zürich	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
22	EPI_ISL_560543|2020-09-07	97	0.0997143	NA	NA	2020-09-07	EPI_ISL_560543	Switzerland/ZH-ETHZ-280088/2020	2020-09-07	Europe	Switzerland	Zürich	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
23	EPI_ISL_753743|2020-09-25	97	0.149029	NA	NA	2020-09-25	EPI_ISL_753743	Germany/BE-ChVir-D1982-5039/2020	2020-09-25	Europe	Germany	Berlin	Germany	20A.EU2	B.1.160	Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
24	EPI_ISL_940189|2020-10-01	97	0.165468	NA	NA	2020-10-01	EPI_ISL_940189	France/IDF_HB_112010007914/2020	2020-10-01	Europe	France	Ile de France	France	20A.EU2	B.1.160	Hôpital Bichat Claude Bernard, Laboratoire de Virologie	IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat	Antoine Bridier-Nahmias et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
25	EPI_ISL_603339|2020-09-25	98	0.0136986	NA	NA	2020-09-25	EPI_ISL_603339	Switzerland/BE-ETHZ-300307/2020	2020-09-25	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
26	EPI_ISL_830813|2020-09-20	98	0	NA	NA	2020-09-20	EPI_ISL_830813	Switzerland/BS-42448507/2020	2020-09-20	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
27	EPI_ISL_603417|2020-09-30	99	0.167659	NA	NA	2020-09-30	EPI_ISL_603417	Switzerland/VD-ETHZ-300470/2020	2020-09-30	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
28	EPI_ISL_900176|2020-09-23	99	0.148481	NA	NA	2020-09-23	EPI_ISL_900176	France/PAC-IHUCOVID-2159/2020	2020-09-23	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
29	EPI_ISL_1020297|2020-09-18	100	0.118397	NA	NA	2020-09-18	EPI_ISL_1020297	Austria/MUW_1337238/2020	2020-09-18	Europe	Austria	Austria	Austria	20A.EU2	B.1.160	Center for Virology	Center for Virology	Jeremy V. Camp et al	B.1.160	TRUE	FALSE	FALSE	TRUE	0	1	0	0	0	0	0	0
30	EPI_ISL_581989|2020-08-27	100	0.0581233	NA	NA	2020-08-27	EPI_ISL_581989	Switzerland/BS-42413789/2020	2020-08-27	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Madlen Stange et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
31	EPI_ISL_539361|2020-08-22	100	0.0444246	NA	NA	2020-08-22	EPI_ISL_539361	Switzerland/ZH-ETHZ-260027/2020	2020-08-22	Europe	Switzerland	Zürich	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
32	EPI_ISL_603335|2020-09-25	100	0.137575	NA	NA	2020-09-25	EPI_ISL_603335	Switzerland/VD-ETHZ-300303/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
33	EPI_ISL_541444|2020-08-31	100	0.0690822	NA	NA	2020-08-31	EPI_ISL_541444	Switzerland/BE-ETHZ-270203/2020	2020-08-31	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
34	EPI_ISL_853906|2020-08-22	100	0.0444246	NA	NA	2020-08-22	EPI_ISL_853906	Austria/CeMM1367/2020	2020-08-22	Europe	Austria	Vienna	Austria	20A.EU2	B.1.160	Center for Virology, Medical University of Vienna	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al	B.1.160	TRUE	FALSE	FALSE	TRUE	0	1	0	0	0	0	0	0
35	EPI_ISL_541433|2020-09-03	90	0.0943301	NA	NA	2020-09-03	EPI_ISL_541433	Switzerland/BE-ETHZ-270126/2020	2020-09-03	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
36	EPI_ISL_830986|2020-09-06	90	0.102549	NA	NA	2020-09-06	EPI_ISL_830986	Switzerland/BS-42427691/2020	2020-09-06	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
37	EPI_ISL_644436|2020-09-16	101	0	NA	NA	2020-09-16	EPI_ISL_644436	France/PAC-MEPHI-1733/2020	2020-09-16	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
38	EPI_ISL_644439|2020-09-18	101	0.00547945	NA	NA	2020-09-18	EPI_ISL_644439	France/PAC-MEPHI-1741/2020	2020-09-18	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
39	EPI_ISL_900177|2020-09-23	90	0.149125	NA	NA	2020-09-23	EPI_ISL_900177	France/PAC-IHUCOVID-2131/2020	2020-09-23	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	TRUE	FALSE	TRUE	1	0	0	0	0	0	0	0
40	EPI_ISL_569195|2020-08-14	90	0.0395356	NA	NA	2020-08-14	EPI_ISL_569195	France/PAC-IHU-1552/2020	2020-08-14	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
41	EPI_ISL_539441|2020-08-25	90	0.0696726	NA	NA	2020-08-25	EPI_ISL_539441	Switzerland/VD-ETHZ-260145/2020	2020-08-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
42	EPI_ISL_541483|2020-09-03	102	0.0749468	NA	NA	2020-09-03	EPI_ISL_541483	Switzerland/VD-ETHZ-270097/2020	2020-09-03	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
43	EPI_ISL_603330|2020-09-25	102	0.135221	NA	NA	2020-09-25	EPI_ISL_603330	Switzerland/VD-ETHZ-300298/2020	2020-09-25	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
44	EPI_ISL_900188|2020-09-25	102	0.135221	NA	NA	2020-09-25	EPI_ISL_900188	France/PAC-IHUCOVID-2171/2020	2020-09-25	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
45	EPI_ISL_603380|2020-09-29	90	0.165563	NA	NA	2020-09-29	EPI_ISL_603380	Switzerland/VD-ETHZ-300421/2020	2020-09-29	Europe	Switzerland	Vaud	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
46	EPI_ISL_560437|2020-09-08	103	0.0329446	NA	NA	2020-09-08	EPI_ISL_560437	Switzerland/BE-ETHZ-280139/2020	2020-09-08	Europe	Switzerland	Bern	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
47	EPI_ISL_830739|2020-09-25	103	0.07952	NA	NA	2020-09-25	EPI_ISL_830739	Switzerland/AG-42456598/2020	2020-09-25	Europe	Switzerland	Aargau	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
48	EPI_ISL_693502|2020-09-21	90	0.143645	NA	NA	2020-09-21	EPI_ISL_693502	France/ARA-75858/2020	2020-09-21	Europe	France	Auvergne-Rhône-Alpes	France	20A.EU2	B.1.160	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
49	EPI_ISL_683381|2020-08-26	90	0.0724123	NA	NA	2020-08-26	EPI_ISL_683381	France/ARA-64317/2020	2020-08-26	Europe	France	Auvergne-Rhône-Alpes	France	20A.EU2	B.1.160	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
50	EPI_ISL_539436|2020-08-25	90	0.0696726	NA	NA	2020-08-25	EPI_ISL_539436	Switzerland/AG-ETHZ-260131/2020	2020-08-25	Europe	Switzerland	Aargau	Switzerland	20A.EU2	B.1.160	Viollier AG	Department of Biosystems Science and Engineering, ETH Zürich	Christian Beisel et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
51	EPI_ISL_615476|2020-08-31	90	0.086111	NA	NA	2020-08-31	EPI_ISL_615476	Denmark/DCGC-3698/2020	2020-08-31	Europe	Denmark	Hovedstaden	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
52	EPI_ISL_619953|2020-09-28	105	0.137173	NA	NA	2020-09-28	EPI_ISL_619953	Denmark/DCGC-5666/2020	2020-09-28	Europe	Denmark	Midtjylland	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
53	EPI_ISL_620972|2020-09-28	105	0.137173	NA	NA	2020-09-28	EPI_ISL_620972	Denmark/DCGC-5785/2020	2020-09-28	Europe	Denmark	Sjaelland	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
54	EPI_ISL_621821|2020-09-21	105	0.117995	NA	NA	2020-09-21	EPI_ISL_621821	Denmark/DCGC-5039/2020	2020-09-21	Europe	Denmark	Hovedstaden	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
55	EPI_ISL_621754|2020-09-14	106	0.069689	NA	NA	2020-09-14	EPI_ISL_621754	Denmark/DCGC-5216/2020	2020-09-14	Europe	Denmark	Syddanmark	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
56	EPI_ISL_622184|2020-09-21	106	0.088867	NA	NA	2020-09-21	EPI_ISL_622184	Denmark/DCGC-4745/2020	2020-09-21	Europe	Denmark	Syddanmark	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
57	EPI_ISL_621291|2020-09-21	105	0.117995	NA	NA	2020-09-21	EPI_ISL_621291	Denmark/DCGC-4622/2020	2020-09-21	Europe	Denmark	Hovedstaden	Denmark	20A.EU2	B.1.160	Department of Virus and Microbiological Special Diagnostics, Statens Serum Institut, Denmark	Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark	Danish Covid-19 Genome Consortia et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
58	EPI_ISL_594628|2020-09-23	90	0.149125	NA	NA	2020-09-23	EPI_ISL_594628	England/CAMC-9EC906/2020	2020-09-23	Europe	United Kingdom	England	United Kingdom	20A.EU2	B.1.160	Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital	COVID-19 Genomics UK (COG-UK) Consortium	Tanya Golubchik et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
59	EPI_ISL_569238|2020-09-11	108	0.0844884	NA	NA	2020-09-11	EPI_ISL_569238	France/PAC-IHU-1629/2020	2020-09-11	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
60	EPI_ISL_584925|2020-09-29	108	0.133804	NA	NA	2020-09-29	EPI_ISL_584925	England/QEUH-A026E4/2020	2020-09-29	Europe	United Kingdom	England	United Kingdom	20A.EU2	B.1.160	Quadram Institute Bioscience	COVID-19 Genomics UK (COG-UK) Consortium	Dave J. Baker et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
61	EPI_ISL_573837|2020-09-09	108	0.079009	NA	NA	2020-09-09	EPI_ISL_573837	Scotland/QEUH-9BAD7E/2020	2020-09-09	Europe	United Kingdom	Scotland	United Kingdom	20A.EU2	B.1.160	Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital	COVID-19 Genomics UK (COG-UK) Consortium	Tanya Golubchik et al	B.1.160	FALSE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
62	EPI_ISL_671942|2020-09-08	107	0.0999059	NA	NA	2020-09-08	EPI_ISL_671942	France/OCC-95/2020	2020-09-08	Europe	France	Occitanie	France	20A.EU2	B.1.160	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	CHU Purpan - Laboratoire de Virologie - Institut Fédératif de Biologie	Latour J. et al	B.1.160	TRUE	FALSE	FALSE	TRUE	1	0	0	0	0	0	0	0
63	EPI_ISL_830808|2020-09-16	107	0.121824	NA	NA	2020-09-16	EPI_ISL_830808	Switzerland/BS-42442867/2020	2020-09-16	Europe	Switzerland	Basel-Stadt	Switzerland	20A.EU2	B.1.160	University Hospital Basel, Clinical Virology	University Hospital Basel, Clinical Bacteriology	Tim Roloff et al	B.1.160	FALSE	FALSE	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
64	EPI_ISL_644509|2020-09-25	110	0.026195	NA	NA	2020-09-25	EPI_ISL_644509	France/PAC-MEPHI-2140/2020	2020-09-25	Europe	France	Provence-Alpes-Côte d'Azur	France	20A.EU2	B.1.160	MEPHI, Aix Marseille University	MEPHI, Aix Marseille University	Anthony LEVASSEUR et al	B.1.160	TRUE	TRUE	FALSE	TRUE	1	0	0	0	0	0	0	0
