"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_539368","Switzerland/VD-ETHZ-260038/2020","2020-08-23",2020-08-23,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539368|2020-08-23",FALSE,FALSE,TRUE
"EPI_ISL_539389","Switzerland/ZH-ETHZ-260064/2020","2020-08-23",2020-08-23,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539389|2020-08-23",FALSE,FALSE,TRUE
"EPI_ISL_539403","Switzerland/BE-ETHZ-260081/2020","2020-08-24",2020-08-24,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539403|2020-08-24",FALSE,FALSE,TRUE
"EPI_ISL_539405","Switzerland/BE-ETHZ-260084/2020","2020-08-25",2020-08-25,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539405|2020-08-25",FALSE,FALSE,TRUE
"EPI_ISL_539430","Switzerland/ZH-ETHZ-260123/2020","2020-08-26",2020-08-26,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539430|2020-08-26",FALSE,FALSE,TRUE
"EPI_ISL_539432","Switzerland/BE-ETHZ-260125/2020","2020-08-26",2020-08-26,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539432|2020-08-26",FALSE,FALSE,TRUE
"EPI_ISL_539459","Switzerland/BE-ETHZ-260167/2020","2020-08-26",2020-08-26,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539459|2020-08-26",FALSE,FALSE,TRUE
"EPI_ISL_539460","Switzerland/BE-ETHZ-260169/2020","2020-08-27",2020-08-27,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_539460|2020-08-27",FALSE,FALSE,TRUE
"EPI_ISL_541408","Switzerland/AG-ETHZ-270107/2020","2020-09-02",2020-09-02,"Europe","Switzerland","Aargau","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541408|2020-09-02",FALSE,FALSE,TRUE
"EPI_ISL_541428","Switzerland/BE-ETHZ-270110/2020","2020-09-03",2020-09-03,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541428|2020-09-03",FALSE,FALSE,TRUE
"EPI_ISL_541438","Switzerland/BE-ETHZ-270163/2020","2020-08-28",2020-08-28,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541438|2020-08-28",FALSE,FALSE,TRUE
"EPI_ISL_541468","Switzerland/SG-ETHZ-270043/2020","2020-09-02",2020-09-02,"Europe","Switzerland","Sankt Gallen","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541468|2020-09-02",FALSE,FALSE,TRUE
"EPI_ISL_541473","Switzerland/VD-ETHZ-270064/2020","2020-09-02",2020-09-02,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541473|2020-09-02",FALSE,FALSE,TRUE
"EPI_ISL_541474","Switzerland/VD-ETHZ-270065/2020","2020-09-02",2020-09-02,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541474|2020-09-02",FALSE,FALSE,TRUE
"EPI_ISL_541503","Switzerland/VD-ETHZ-270199/2020","2020-08-31",2020-08-31,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541503|2020-08-31",FALSE,FALSE,TRUE
"EPI_ISL_541511","Switzerland/ZH-ETHZ-270040/2020","2020-09-02",2020-09-02,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541511|2020-09-02",FALSE,FALSE,TRUE
"EPI_ISL_541528","Switzerland/ZH-ETHZ-270147/2020","2020-08-28",2020-08-28,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541528|2020-08-28",FALSE,FALSE,TRUE
"EPI_ISL_541535","Switzerland/ZH-ETHZ-270193/2020","2020-08-31",2020-08-31,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_541535|2020-08-31",FALSE,FALSE,TRUE
"EPI_ISL_541911","Spain/MD-IBV-99007138/2020","2020-08-04",2020-08-04,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Laura Pérez-Lago et al","B.1.177","EPI_ISL_541911|2020-08-04",TRUE,FALSE,FALSE
"EPI_ISL_560424","Switzerland/AG-ETHZ-280156/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Aargau","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560424|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560451","Switzerland/BE-ETHZ-280243/2020","2020-09-10",2020-09-10,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560451|2020-09-10",FALSE,FALSE,TRUE
"EPI_ISL_560463","Switzerland/BL-ETHZ-280184/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Basel-Land","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560463|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560466","Switzerland/BL-ETHZ-280190/2020","2020-09-10",2020-09-10,"Europe","Switzerland","Basel-Land","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560466|2020-09-10",FALSE,FALSE,TRUE
"EPI_ISL_560481","Switzerland/SZ-ETHZ-280121/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Schwyz","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560481|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560490","Switzerland/VD-ETHZ-280100/2020","2020-09-07",2020-09-07,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560490|2020-09-07",FALSE,FALSE,TRUE
"EPI_ISL_560499","Switzerland/VD-ETHZ-280115/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560499|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560504","Switzerland/VD-ETHZ-280136/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560504|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560514","Switzerland/VD-ETHZ-280164/2020","2020-09-08",2020-09-08,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560514|2020-09-08",FALSE,FALSE,TRUE
"EPI_ISL_560524","Switzerland/VD-ETHZ-280206/2020","2020-09-09",2020-09-09,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560524|2020-09-09",FALSE,FALSE,TRUE
"EPI_ISL_560528","Switzerland/VD-ETHZ-280229/2020","2020-09-10",2020-09-10,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560528|2020-09-10",FALSE,FALSE,TRUE
"EPI_ISL_560551","Switzerland/ZH-ETHZ-280197/2020","2020-09-09",2020-09-09,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_560551|2020-09-09",FALSE,FALSE,TRUE
"EPI_ISL_566513","England/MILK-9C2E16/2020","2020-09-10",2020-09-10,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Milton Keynes","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","The Lighthouse Lab in Milton Keynes et al","B.1.177","EPI_ISL_566513|2020-09-10",FALSE,TRUE,FALSE
"EPI_ISL_569122","France/PAC-IHU-1335/2020","2020-08-19",2020-08-19,"Europe","France","Provence-Alpes-Côte d'Azur","France","20E (EU1)","B.1.177","MEPHI, Aix Marseille University","MEPHI, Aix Marseille University","Anthony LEVASSEUR et al","B.1.177","EPI_ISL_569122|2020-08-19",TRUE,FALSE,FALSE
"EPI_ISL_575494","England/ALDP-9CAE78/2020","2020-09-16",2020-09-16,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Alderley Park","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Jacquelyn Wynn et al","B.1.177","EPI_ISL_575494|2020-09-16",FALSE,TRUE,FALSE
"EPI_ISL_577836","Netherlands/LI-EMC-90/2020","2020-09-27",2020-09-27,"Europe","Netherlands","Limburg","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_577836|2020-09-27",TRUE,FALSE,FALSE
"EPI_ISL_578264","Ireland/D-NVRL-73IRL25386/2020","2020-09-05",2020-09-05,"Europe","Ireland","Dublin","Ireland","20E (EU1)","B.1.177","National Virus Reference Laboratory","National Virus Reference Laboratory","Michael Carr et al","B.1.177","EPI_ISL_578264|2020-09-05",FALSE,TRUE,FALSE
"EPI_ISL_580133","England/ALDP-9E9CC4/2020","2020-09-24",2020-09-24,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Alderley Park","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Jacquelyn Wynn et al","B.1.177","EPI_ISL_580133|2020-09-24",FALSE,TRUE,FALSE
"EPI_ISL_581936","Switzerland/BS-42379000/2020","2020-08-03",2020-08-03,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Madlen Stange et al","B.1.177","EPI_ISL_581936|2020-08-03",FALSE,FALSE,TRUE
"EPI_ISL_581951","Switzerland/BS-42392007/2020","2020-08-12",2020-08-12,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Madlen Stange et al","B.1.177","EPI_ISL_581951|2020-08-12",FALSE,FALSE,TRUE
"EPI_ISL_581955","Switzerland/BS-42395177/2020","2020-08-14",2020-08-14,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Madlen Stange et al","B.1.177","EPI_ISL_581955|2020-08-14",FALSE,FALSE,TRUE
"EPI_ISL_581963","Switzerland/BS-65254979/2020","2020-08-09",2020-08-09,"Europe","Switzerland","Basel-Stadt","Switzerland","20E (EU1)","B.1.177","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Madlen Stange et al","B.1.177","EPI_ISL_581963|2020-08-09",FALSE,FALSE,TRUE
"EPI_ISL_582041","Spain/PV-IBV-98007703/2020","2020-09-16",2020-09-16,"Europe","Spain","Basque Country","Spain","20E (EU1)","B.1.177","Servicio de Microbiología. Hospital Universitario Donostia. OSI Donostialdea. Área de Enfermedades Infecciosas, Grupo de Infección Respiratoria y Resistencia Antimicrobiana. Instituto de Investigación Sanitaria Biodonostia","SeqCOVID-SPAIN consortium/IBV(CSIC)","Gustavo Cilla et al","B.1.177","EPI_ISL_582041|2020-09-16",TRUE,FALSE,FALSE
"EPI_ISL_582816","Spain/MD-IBV-99007329/2020","2020-08-18",2020-08-18,"Europe","Spain","Madrid","Spain","20E (EU1)","B.1.177","Hospital General Universitario Gregorio Marañón","SeqCOVID-SPAIN consortium/IBV(CSIC)","Darío García de Viedma et al","B.1.177","EPI_ISL_582816|2020-08-18",TRUE,FALSE,FALSE
"EPI_ISL_584923","England/QEUH-A026B7/2020","2020-09-29",2020-09-29,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Quadram Institute Bioscience","COVID-19 Genomics UK (COG-UK) Consortium","Dave J. Baker et al","B.1.177","EPI_ISL_584923|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_584942","England/QEUH-A029DC/2020","2020-09-29",2020-09-29,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Quadram Institute Bioscience","COVID-19 Genomics UK (COG-UK) Consortium","Dave J. Baker et al","B.1.177","EPI_ISL_584942|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_585052","England/SHEF-CC9AB/2020","2020-09-27",2020-09-27,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Virology Department, Sheffield Teaching Hospitals NHS Foundation Trust/Department of Infection, Immunity and Cardiovascular Disease, The Medical School, University of Sheffield","COVID-19 Genomics UK (COG-UK) Consortium","Thushan de Silva et al","B.1.177","EPI_ISL_585052|2020-09-27",FALSE,TRUE,FALSE
"EPI_ISL_587316","England/QEUH-A1E17B/2020","2020-09-29",2020-09-29,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_587316|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_587363","England/QEUH-A1E6E5/2020","2020-09-29",2020-09-29,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_587363|2020-09-29",FALSE,TRUE,FALSE
"EPI_ISL_588092","England/QEUH-9FAA4E/2020","2020-09-28",2020-09-28,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_588092|2020-09-28",FALSE,TRUE,FALSE
"EPI_ISL_588159","England/QEUH-9FACB1/2020","2020-09-28",2020-09-28,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_588159|2020-09-28",FALSE,TRUE,FALSE
"EPI_ISL_588295","England/QEUH-9F4FEB/2020","2020-09-25",2020-09-25,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_588295|2020-09-25",FALSE,TRUE,FALSE
"EPI_ISL_588591","England/QEUH-9F35CC/2020","2020-09-24",2020-09-24,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_588591|2020-09-24",TRUE,FALSE,FALSE
"EPI_ISL_588848","England/QEUH-9F575B/2020","2020-09-27",2020-09-27,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_588848|2020-09-27",FALSE,TRUE,FALSE
"EPI_ISL_590083","England/QEUH-9CF08C/2020","2020-09-14",2020-09-14,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Lighthouse Lab in Glasgow","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","Harper VanSteenhouse et al","B.1.177","EPI_ISL_590083|2020-09-14",FALSE,TRUE,FALSE
"EPI_ISL_594557","England/BIRM-653F1/2020","2020-09-30",2020-09-30,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","University of Birmingham","COVID-19 Genomics UK (COG-UK) Consortium","Institute of Microbiology et al","B.1.177","EPI_ISL_594557|2020-09-30",FALSE,TRUE,FALSE
"EPI_ISL_595796","England/QEUH-9FA282/2020","2020-09-27",2020-09-27,"Europe","United Kingdom","England","United Kingdom","20E (EU1)","B.1.177","Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital","COVID-19 Genomics UK (COG-UK) Consortium","Tanya Golubchik et al","B.1.177","EPI_ISL_595796|2020-09-27",FALSE,TRUE,FALSE
"EPI_ISL_603272","Switzerland/GR-ETHZ-300239/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Graubünden","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603272|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_603309","Switzerland/BE-ETHZ-300277/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603309|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_603333","Switzerland/VD-ETHZ-300301/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603333|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603334","Switzerland/VD-ETHZ-300302/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603334|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603340","Switzerland/VD-ETHZ-300308/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603340|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603342","Switzerland/BL-ETHZ-300310/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Basel-Land","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603342|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603353","Switzerland/SG-ETHZ-300321/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Sankt Gallen","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603353|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603369","Switzerland/ZH-ETHZ-300404/2020","2020-09-29",2020-09-29,"Europe","Switzerland","Zürich","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603369|2020-09-29",FALSE,FALSE,TRUE
"EPI_ISL_603378","Switzerland/VD-ETHZ-300419/2020","2020-09-29",2020-09-29,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603378|2020-09-29",FALSE,FALSE,TRUE
"EPI_ISL_603397","Switzerland/BE-ETHZ-300444/2020","2020-09-30",2020-09-30,"Europe","Switzerland","Bern","Switzerland","20E (EU1)","B.1.177.23","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603397|2020-09-30",FALSE,FALSE,TRUE
"EPI_ISL_603414","Switzerland/VD-ETHZ-300467/2020","2020-09-30",2020-09-30,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603414|2020-09-30",FALSE,FALSE,TRUE
"EPI_ISL_603416","Switzerland/VD-ETHZ-300469/2020","2020-09-30",2020-09-30,"Europe","Switzerland","Vaud","Switzerland","20E (EU1)","B.1.177","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.177","EPI_ISL_603416|2020-09-30",FALSE,FALSE,TRUE
"EPI_ISL_631376","Germany/NW-HHU-243/2020","2020-09-15",2020-09-15,"Europe","Germany","North Rhine Westphalia","Germany","20E (EU1)","B.1.177","ZOTZ KLIMAS MVZ Düsseldorf-Centrum GbR ÜBAG für Labormedizin, Genetik, Zytologie, Pathologie","Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf","Maximilian Damagnez et al","B.1.177","EPI_ISL_631376|2020-09-15",TRUE,FALSE,FALSE
"EPI_ISL_632332","Netherlands/ZH-EMC-882/2020","2020-09-24",2020-09-24,"Europe","Netherlands","South Holland","Netherlands","20E (EU1)","B.1.177","Dutch COVID-19 response team","Erasmus Medical Center","Bas Oude Munnink et al","B.1.177","EPI_ISL_632332|2020-09-24",TRUE,FALSE,FALSE
