"gisaid_epi_isl","strain","date_str","date","region","country","division","country_exposure","nextstrain_clade","pangolin_lineage","originating_lab","submitting_lab","authors","tree_pangolin_lineage","tree_label","travel_context","similarity_context","focal_sequence"
"EPI_ISL_595779","England/QEUH-9F9F40/2020","2020-09-27",2020-09-27,"Europe","United Kingdom","England","United Kingdom","20B","B.1.1.39","Oxford Viromics, NDM, University of Oxford; Oxford University Hospitals; Basingstoke and North Hampshire Hospital","COVID-19 Genomics UK (COG-UK) Consortium","Tanya Golubchik et al","B.1.1.39","EPI_ISL_595779|2020-09-27",FALSE,TRUE,FALSE
"EPI_ISL_601645","England/MILK-9D3E30/2020","2020-09-16",2020-09-16,"Europe","United Kingdom","England","United Kingdom","20B","B.1.1.39","Lighthouse Lab in Milton Keynes","Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) consortium","The Lighthouse Lab in Milton Keynes et al","B.1.1.39","EPI_ISL_601645|2020-09-16",FALSE,TRUE,FALSE
"EPI_ISL_603281","Switzerland/GR-ETHZ-300249/2020","2020-09-30",2020-09-30,"Europe","Switzerland","Graubünden","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_603281|2020-09-30",FALSE,FALSE,TRUE
"EPI_ISL_603293","Switzerland/ZH-ETHZ-300261/2020","2020-10-01",2020-10-01,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_603293|2020-10-01",FALSE,FALSE,TRUE
"EPI_ISL_603331","Switzerland/ZH-ETHZ-300299/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_603331|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603352","Switzerland/ZH-ETHZ-300320/2020","2020-09-25",2020-09-25,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_603352|2020-09-25",FALSE,FALSE,TRUE
"EPI_ISL_603409","Switzerland/ZH-ETHZ-300459/2020","2020-09-30",2020-09-30,"Europe","Switzerland","Zürich","Switzerland","20B","B.1.1.39","Viollier AG","Department of Biosystems Science and Engineering, ETH Zürich","Christian Beisel et al","B.1.1.39","EPI_ISL_603409|2020-09-30",FALSE,FALSE,TRUE
"EPI_ISL_710563","Croatia/Zagreb-28/2020","2020-09-09",2020-09-09,"Europe","Croatia","Zagreb","Croatia","20B","B.1.1.39","Sestre Milosrdnice University Hospital Center","Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science","Robert Belužić et al","B.1.1.39","EPI_ISL_710563|2020-09-09",TRUE,TRUE,FALSE
"EPI_ISL_729587","Germany/SH-ChVir8334/2020","2020-08-05",2020-08-05,"Europe","Germany","Schleswig-Holstein","Germany","20B","B.1.1.39","A. Krumbholz, Labor Dr. Krause und Kollegen MVZ GmbH, Kiel","Charité Universitätsmedizin Berlin, Institut für Virologie","Victor M Corman et al","B.1.1.39","EPI_ISL_729587|2020-08-05",FALSE,TRUE,FALSE
"EPI_ISL_753858","Germany/BB-ChVir-W1646-6734/2020","2020-08-05",2020-08-05,"Europe","Germany","Brandenburg","Germany","20B","B.1.1.39","Charité Universitätsmedizin Berlin, Institut für Virologie/Labor Berlin","Charité Universitätsmedizin Berlin, Institut für Virologie","Victor M Corman et al","B.1.1.39","EPI_ISL_753858|2020-08-05",FALSE,TRUE,FALSE
"EPI_ISL_830737","Switzerland/AG-42445382/2020","2020-09-17",2020-09-17,"Europe","Switzerland","Aargau","Switzerland","20B","B.1.1.39","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.1.39","EPI_ISL_830737|2020-09-17",FALSE,FALSE,TRUE
"EPI_ISL_830811","Switzerland/BS-42445392/2020","2020-09-17",2020-09-17,"Europe","Switzerland","Basel-Stadt","Switzerland","20B","B.1.1.39","University Hospital Basel, Clinical Virology","University Hospital Basel, Clinical Bacteriology","Tim Roloff et al","B.1.1.39","EPI_ISL_830811|2020-09-17",FALSE,FALSE,TRUE
